Time:	Direct:	Amplified:
104295	24.454956	24.520721
104399	24.454956	24.520721
104516	24.454956	24.511932
104632	24.454956	24.511932
104749	24.454956	24.511932
104865	24.454956	24.511932
104981	24.454956	24.511932
105082	24.454956	24.511932
105182	24.454956	24.511932
105298	24.454956	24.511932
105398	24.454956	24.511932
105498	24.454956	24.511932
105598	24.454956	24.511932
105698	24.454956	24.511932
105799	24.454956	24.511932
105902	24.454956	24.503174
106002	24.454956	24.503174
106119	24.454956	24.503174
106225	24.454956	24.503174
106327	24.454956	24.503174
106444	24.454956	24.503174
106560	24.454956	24.503174
106660	24.454956	24.503174
106760	24.454956	24.503174
106861	24.454956	24.503174
106961	24.454956	24.503174
107077	24.454956	24.503174
107177	24.454956	24.503174
107277	24.454956	24.503174
107378	24.454956	24.503174
107478	24.454956	24.503174
107593	24.454956	24.503174
107694	24.454956	24.494415
107794	24.454956	24.503174
107896	24.454956	24.494415
107996	24.454956	24.494415
108097	24.454956	24.503174
108197	24.454956	24.503174
108314	24.454956	24.494415
108421	24.454956	24.503174
108521	24.454956	24.494415
108621	24.454956	24.494415
108737	24.454956	24.494415
108838	24.454956	24.494415
108954	24.454956	24.494415
